<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
220104,000000,504.9,515.4,503.4,515.4,2110579
220105,000000,516.4,518.2,511.5,515.4,1538065
220106,000000,516,516.9,489.5,492.6,3809061
220107,000000,483.8,498.3,479,496.4,5931530
220111,000000,497.7,505.6,494.5,499.8,3766468
220112,000000,500,510.8,496.3,508.2,3804031
220113,000000,508.2,513.2,504.7,511.2,3155762
220114,000000,511.2,515.5,489.8,496.3,5973883
220115,000000,497.7,503.3,482,498.1,5504261
220118,000000,497.8,508.5,492,495.7,5221898
220119,000000,511.1,512.2,466.4,474,6032961
220120,000000,475.1,502.5,458.3,490.7,8213976
220121,000000,494,501.8,476.4,478.8,6898990
220122,000000,476.2,484.7,469.1,474.2,6036254
220125,000000,477.7,480.5,436,459.2,7980809
220126,000000,459.4,479.9,446.3,479.4,5792543
220127,000000,479.2,479.5,464.1,468,6321120
220128,000000,467.9,496,460.6,484.9,5940910
220129,000000,488,505.6,482.4,503.6,6168774
220201,000000,505,511.8,494.2,499.7,5078559
220202,000000,500,503.8,486.8,491.7,4955619
220203,000000,491.8,498.8,487.7,491.5,3239712
220204,000000,490.8,491.9,477.6,487.9,3731381
220205,000000,491,499.7,483.8,490.8,4379546
220208,000000,489.4,496.8,482.2,492,2822923
220209,000000,490.7,499.6,488.3,499.1,3271752
220210,000000,499,509.8,498.1,506.5,4718710
220211,000000,505.5,508.1,497,498.5,2567013
220212,000000,498.5,498.8,474.2,478.7,4250879
220215,000000,475.8,491.5,469.5,482.1,6659869
220216,000000,482,500.4,482,498.5,4667562
220217,000000,498.5,508.6,496.8,503.9,3085901
220218,000000,504,504.4,485.9,491,3999087
220219,000000,492,495.6,470,472.4,5287314
220222,000000,471,483.8,379.5,396,12971686
220223,000000,403.1,442.5,360.1,441.6,17052085
220225,000000,399.9,410,232.9,309.8,10847630
220226,000000,308,398,308,353,4107501
220325,000000,390,442.8,362.5,424,2970320
220326,000000,439,439,421.1,427,887245
220329,000000,420,424.7,393,399.8,1107000
220330,000000,397,417.8,361.8,391,1656062
220331,000000,391.6,400,380.5,395.3,526900
220401,000000,395.5,414.5,385,411.8,1491665
220402,000000,413.6,434.8,405.5,407.2,1120854
220405,000000,414.7,414.9,394,407,737764
220406,000000,410.8,411.4,380,395,656079
220407,000000,393,402.5,388,393,296355
220408,000000,393.2,396.9,389,391,250896
220409,000000,392.3,394.8,380.5,386,474169
220412,000000,386.1,391,380.8,382.8,218458
220413,000000,382.1,385.1,374,383.6,276659
220414,000000,385.2,387.9,380,385,262541
220415,000000,385,385.5,366,367,312119
220416,000000,367.4,368.2,354.8,361,1157616
220419,000000,364.8,365,349,352.9,374812
220420,000000,350.7,351.7,319.5,340.7,788012
220421,000000,342,355,330.9,355,445405
220422,000000,353.9,355,338,350,503543
220423,000000,344.7,359.7,339.2,359.7,526888
220426,000000,352.5,366.4,346.1,355,450879
220427,000000,355,375,353.1,375,2707334
220428,000000,372.1,384,370.6,373.3,994839
220429,000000,375.3,386.8,362.2,362.2,1534656
220430,000000,362.2,387,360.4,386.2,745946
220505,000000,386.5,390,369.4,369.4,466275
220506,000000,372,375.7,369.1,370.3,211677
220507,000000,371,381.9,361.7,381.9,284572
220512,000000,378.1,388,372,378.2,587912
220513,000000,378.2,379.4,364,364.1,186471
220514,000000,366.4,373.4,360,362,277546
220517,000000,363.2,375,362,373.7,263954
220518,000000,375.1,398,375,392.5,889960
220519,000000,395.7,413.5,395,407.2,979036
220520,000000,406.7,409.7,395.6,404,555080
220521,000000,402.5,409.8,390.6,401.5,1311855
220524,000000,405,408.4,370.6,372.9,1391793
220525,000000,372.9,372.9,351.8,359,991449
220526,000000,362,375,354.3,375,530833
220527,000000,375.3,389,373.4,385,748105
220528,000000,391.6,400,387,391,946304
220531,000000,394,400,385.4,391,421162
220601,000000,390.9,392,380,392,426902
220602,000000,388.4,398.2,386.6,398,531840
220603,000000,393.8,396.8,382.5,390.1,565385
220604,000000,391.1,394,372.3,391.8,770920
220607,000000,390,391.3,383.8,390,326191
220608,000000,387.6,393,382.9,393,441732
220609,000000,392.1,407.9,391,405.6,882696
220610,000000,405,413.2,398.4,405.8,821222
220611,000000,407.2,426,405.8,424.5,966096
220615,000000,419.9,427.2,415.3,427.2,442853
220616,000000,426.7,429.1,419.2,424.5,638769
220617,000000,424.7,440,423.3,440,1073359
220618,000000,440,440,430.3,431,519329
220621,000000,433.2,445.9,431.6,441,615936
220622,000000,441.4,443.8,435,440.6,982819
220623,000000,439.8,444.6,428.2,444.6,726304
220624,000000,443.1,449,437.3,449,656221
220625,000000,447.5,452.8,438.2,448.5,851603
220628,000000,446,458,444,458,482103
220629,000000,456.5,456.5,446.2,447.2,484367
220630,000000,447.2,451.9,438,440.8,537196
220701,000000,441.3,444.7,415.7,429.5,1008126
220702,000000,421.1,439.9,421.1,422.1,582640
220705,000000,426.8,439,423.7,433,724193
220706,000000,432.9,432.9,422.1,426,886671
220707,000000,425,430.6,423,429.8,1181527
220708,000000,412.3,414,403,407.9,1153076
220709,000000,407,409.9,400.3,409.9,452629
220712,000000,408.1,408.1,400,400,489795
220713,000000,399.9,399.9,386,391.8,438238
220714,000000,391.7,392.4,370.3,375.8,534921
220715,000000,377.5,389,366.6,366.6,721343
220716,000000,368.1,408.8,366,379.9,1188691
220719,000000,381.8,385.3,374.5,380.6,429442
220720,000000,380.6,382.7,370.5,374.6,418422
220721,000000,376.7,381.4,373.8,379.5,318610
220722,000000,377.1,380,368,375.7,371076
220723,000000,375.5,388.5,375.4,381.1,461736
220726,000000,382.9,384.3,377.2,383.1,340298
220727,000000,383.4,390.4,383.2,388.1,382090
220728,000000,389.2,402.6,388,392.3,692441
220729,000000,394.3,398.7,391.2,395,389220
220730,000000,395.3,409,392.4,409,419982
220802,000000,408,409.8,395.1,395.1,754050
220803,000000,396,399.8,393.8,394.3,726771
220804,000000,394.8,407,394.6,397.6,981954
220805,000000,399,406,397.6,403.1,494029
220806,000000,404.1,405.3,386.1,387,562451
220809,000000,393.7,396.8,383.7,383.7,844038
220810,000000,385.6,412.6,383.1,405.6,2003476
220811,000000,409.2,420.8,407.5,415.8,1546835
220812,000000,417.9,423,410,414.6,925081
220813,000000,415,423,412.1,422.6,717437
220816,000000,425,434,408.2,425,3893258
220817,000000,453.2,455,433.5,437,2403875
220818,000000,438.9,439.7,431,432.5,658422
220819,000000,433.6,440.9,429.5,436,468729
220820,000000,437.4,438.8,429.5,431,416997
220823,000000,429.4,444.5,425.3,443.4,827387
220824,000000,444.6,450.9,439.3,450.2,788027
220825,000000,450.1,451,445.7,451,683184
220826,000000,451,451,443.5,446.9,550175
220827,000000,447.5,450,444,450,371701
220830,000000,454,458,450.6,454.5,527385
220831,000000,455,458.3,448.5,454.2,456121
220901,000000,457,461.9,447.5,456,810510
220902,000000,455,455.5,440,442.1,1148140
220903,000000,443.5,450.9,443.2,450.9,856988
220906,000000,451,461.1,446.3,461.1,634433
220907,000000,460,460,445.4,448.1,679140
220908,000000,448.5,449.8,437.7,437.7,560773
220909,000000,439.5,441.7,432.3,433,647109
220910,000000,436.5,441.8,433,441.8,438141
220913,000000,441.9,449.5,440,448,497068
220914,000000,449.8,449.8,436.9,441,549845
220915,000000,441,443.3,435.2,443,424926
220916,000000,444.3,449,437,444.8,663513
220917,000000,444.9,445.4,435.6,438.7,625319
220920,000000,438,439.9,434,438.3,560142
220921,000000,436.3,437.2,405.9,413.1,1595737
